team,season,missing_players,players
Northwest Missouri State,2025-26,2,Gob Gob; Jack Webb
Ohio Dominican,2025-26,2,Tony Ezeonu; Camden Cox
Oklahoma Christian,2025-26,2,Josh Aiken; Emmanuel Haba
Post,2025-26,2,Brandon Beamon; Cayleb Walters
Roberts Wesleyan College,2025-26,2,Hadi Ammar Alshami; Eli Tanner
Roosevelt,2025-26,2,"Chase, Ephraim; Gigo, Anderson"
Saint Anselm,2025-26,2,Myles Kirby; Connor O'Rourke
Saint Michaels,2025-26,2,Sebastian Andersson; Tay Dzingou
Shaw,2025-26,2,Isaac Tatum; Zailan Blue
Shippensburg,2025-26,2,Parker Smith; Braelin Hardy
South Carolina Aiken,2025-26,2,Johnniyus Sharpe; Chase Allen
Southern New Hampshire,2025-26,2,Sam Guerrier; T.J. Berger
St Thomas Aquinas,2025-26,2,Ky Panda-Massey; Elhadji Diop
Staten Island,2025-26,2,Nowah Hargrow; Michael Oyekanmi
Sul Ross State,2025-26,2,Jackson Thoele; Donato Joseph
Texas AM Kingsville,2025-26,2,Frank Madubuko; Bryce Cook
Texas Permian Basin,2025-26,2,Kainan Thomas; Mouhamadou Cisse
Thomas More,2025-26,2,Daviawne Crim; Will Frey
University of Charleston,2025-26,2,Rico Carr-Cole; Logan Phillips
Virginia State,2025-26,2,Jaedan Jefferson; John Uzochuwku
Washburn,2025-26,2,Tyler Salmon; Tayvin Zephier-Murphy
Wayne State NEB,2025-26,2,Payson Nietert; Ahmad Artis
West Florida,2025-26,2,Hutson Rowe; Zac Clarke
West Virginia State,2025-26,2,Tyree Davis; Alaja Sanni
Alaska Fairbanks,2025-26,1,"McCullough, Jett"
Albany State GA,2025-26,1,Bailo Diallo
Arkansas-Monticello,2025-26,1,"Webb, Tyler"
Augustana College,2025-26,1,Hayden Brown
Bentley,2025-26,1,Andrew Hill
Bowie State,2025-26,1,Justin Morrisey
California PA,2025-26,1,Creston Austin III
Cameron,2025-26,1,Kelen Smith
Clark Atlanta,2025-26,1,Elijah Hargrove
Concord,2025-26,1,John Rose III
Converse,2025-26,1,Zayd Taylor
Dallas Baptist,2025-26,1,Isaiah Dozier
Delta State,2025-26,1,Kolby Horace
District of Columbia,2025-26,1,Jalen Bradberry
East Central,2025-26,1,"Miller, Jaden"
Emporia State,2025-26,1,Elijah Wilhelm
Flagler,2025-26,1,M.J. Meurer
Georgia Southwestern State,2025-26,1,Alaunzo Doctrine
Glenville State,2025-26,1,Julian Kelly
Goldey Beacom,2025-26,1,Darius Sherman
Illinois Springfield,2025-26,1,"Olivier, Dezmund"
Indianapolis,2025-26,1,"Busick, Drew"
Jessup,2025-26,1,"Onuaguluchi, Kenechi"
Kentucky State,2025-26,1,Deavion Scales
Kutztown,2025-26,1,Kameron Roberts
Lane,2025-26,1,Naby Diaw Ngom
Lenoir Rhyne,2025-26,1,Rogelio Rivera
Malone,2025-26,1,DeLan Davis
Mercy College,2025-26,1,Derek Long
Minnesota Crookston,2025-26,1,Chandler Meeks
Minnesota State  Moorhead,2025-26,1,Nic Smith
Minnesota State Mankato,2025-26,1,Ganden Gosch
Mount Olive,2025-26,1,Kobe Jones
Ouachita Baptist,2025-26,1,"Johnson Jr. , Andre"
Pace,2025-26,1,Promise Opurum
Point Loma,2025-26,1,"Moore, Bobby"
Rogers State,2025-26,1,Bromo Dorn
Shepherd University,2025-26,1,Asher Rudolph
Shorter,2025-26,1,Cal Rich
Slippery Rock,2025-26,1,Maceo Austin
Southern Connecticut State,2025-26,1,Rob Taylor II
Southwestern Oklahoma State,2025-26,1,"Harris, Landon"
St Cloud State,2025-26,1,Treshawn Blissett
St Marys TX,2025-26,1,Enrique Cardnes
Texas Dallas,2025-26,1,Jaden Jefferson
Trevecca Nazarene,2025-26,1,Cade Capps
Tusculum,2025-26,1,Lorenzo Sedita
Union TN,2025-26,1,Ty Clark
Virginia Union,2025-26,1,Jaron Walker
West Alabama,2025-26,1,Tyrese Elliott
West Liberty,2025-26,1,Max Butler
