Team,Conference,season,reason,missing_players
Tiffin,Great Midwest Athletic,2025-26,no school domain or URL override found,3
University of Mary,Northern Sun Intercollegiate,2025-26,no school domain or URL override found,3
Valdosta State,Gulf South,2025-26,no school domain or URL override found,3
WV Wesleyan,Mountain East,2025-26,no school domain or URL override found,3
Western New Mexico,Lone Star,2025-26,no school domain or URL override found,3
Adelphi,Northeast 10,2025-26,no school domain or URL override found,2
American International,Northeast 10,2025-26,no school domain or URL override found,2
Anderson SC,South Atlantic,2025-26,no school domain or URL override found,2
Arkansas Fort Smith,Mid-America Intercollegiate,2025-26,no school domain or URL override found,2
Assumption College,Northeast 10,2025-26,no school domain or URL override found,2
Benedict College,Southern Intercollegiate Athletic,2025-26,no school domain or URL override found,2
Caldwell,Central Athletic,2025-26,no school domain or URL override found,2
Catawba,South Atlantic,2025-26,no school domain or URL override found,2
Central State OH,Southern Intercollegiate Athletic,2025-26,no school domain or URL override found,2
Chestnut Hill,Central Athletic,2025-26,no school domain or URL override found,2
Eastern New Mexico,Lone Star,2025-26,no school domain or URL override found,2
Emmanuel GA,Conference Carolinas,2025-26,no school domain or URL override found,2
Erskine,Conference Carolinas,2025-26,no school domain or URL override found,2
Fort Valley State,Southern Intercollegiate Athletic,2025-26,no school domain or URL override found,2
Franklin Pierce,Northeast 10,2025-26,no school domain or URL override found,2
Gannon,Pennsylvania State Athletic,2025-26,no school domain or URL override found,2
Hillsdale MI,Great Midwest Athletic,2025-26,no school domain or URL override found,2
Lander,Peach Belt,2025-26,no school domain or URL override found,2
Lincoln PA,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,2
Lubbock Christian,Lone Star,2025-26,no school domain or URL override found,2
Miles College,Southern Intercollegiate Athletic,2025-26,no school domain or URL override found,2
Minot State,Northern Sun Intercollegiate,2025-26,no school domain or URL override found,2
Molloy,East Coast,2025-26,no school domain or URL override found,2
Morehouse,Southern Intercollegiate Athletic,2025-26,no school domain or URL override found,2
Northeastern State,Mid-America Intercollegiate,2025-26,no school domain or URL override found,2
Northern State,Northern Sun Intercollegiate,2025-26,no school domain or URL override found,2
Northwest Missouri State,Mid-America Intercollegiate,2025-26,no school domain or URL override found,2
Ohio Dominican,Great Midwest Athletic,2025-26,no school domain or URL override found,2
Oklahoma Christian,Lone Star,2025-26,no school domain or URL override found,2
Post,Central Athletic,2025-26,no school domain or URL override found,2
Roberts Wesleyan College,East Coast,2025-26,no school domain or URL override found,2
Roosevelt,Great Lakes Intercollegiate,2025-26,no school domain or URL override found,2
Saint Anselm,Northeast 10,2025-26,no school domain or URL override found,2
Saint Michaels,Northeast 10,2025-26,no school domain or URL override found,2
Shaw,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,2
Shippensburg,Pennsylvania State Athletic,2025-26,no school domain or URL override found,2
South Carolina Aiken,Peach Belt,2025-26,no school domain or URL override found,2
Southern New Hampshire,Northeast 10,2025-26,no school domain or URL override found,2
St Thomas Aquinas,East Coast,2025-26,no school domain or URL override found,2
Staten Island,East Coast,2025-26,no school domain or URL override found,2
Sul Ross State,Lone Star,2025-26,no school domain or URL override found,2
Texas AM Kingsville,Lone Star,2025-26,no school domain or URL override found,2
Texas Permian Basin,Lone Star,2025-26,no school domain or URL override found,2
Thomas More,Great Midwest Athletic,2025-26,no school domain or URL override found,2
University of Charleston,Mountain East,2025-26,no school domain or URL override found,2
Virginia State,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,2
Washburn,Mid-America Intercollegiate,2025-26,no school domain or URL override found,2
Wayne State NEB,Northern Sun Intercollegiate,2025-26,no school domain or URL override found,2
West Florida,Gulf South,2025-26,no school domain or URL override found,2
West Virginia State,Mountain East,2025-26,no school domain or URL override found,2
Alaska Fairbanks,Great Northwest,2025-26,no school domain or URL override found,1
Albany State GA,Southern Intercollegiate Athletic,2025-26,no school domain or URL override found,1
Arkansas-Monticello,Great American,2025-26,no school domain or URL override found,1
Augustana College,Northern Sun Intercollegiate,2025-26,no school domain or URL override found,1
Bentley,Northeast 10,2025-26,no school domain or URL override found,1
Bowie State,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,1
California PA,Pennsylvania State Athletic,2025-26,no school domain or URL override found,1
Cameron,Lone Star,2025-26,no school domain or URL override found,1
Clark Atlanta,Southern Intercollegiate Athletic,2025-26,no school domain or URL override found,1
Concord,Mountain East,2025-26,no school domain or URL override found,1
Converse,Conference Carolinas,2025-26,no school domain or URL override found,1
Dallas Baptist,Lone Star,2025-26,no school domain or URL override found,1
Delta State,Gulf South,2025-26,no school domain or URL override found,1
District of Columbia,East Coast,2025-26,no school domain or URL override found,1
East Central,Great American,2025-26,no school domain or URL override found,1
Emporia State,Mid-America Intercollegiate,2025-26,no school domain or URL override found,1
Flagler,Peach Belt,2025-26,no school domain or URL override found,1
Georgia Southwestern State,Peach Belt,2025-26,no school domain or URL override found,1
Glenville State,Mountain East,2025-26,no school domain or URL override found,1
Goldey Beacom,Central Athletic,2025-26,no school domain or URL override found,1
Illinois Springfield,Great Lakes Valley,2025-26,no school domain or URL override found,1
Indianapolis,Great Lakes Valley,2025-26,no school domain or URL override found,1
Jessup,PacWest,2025-26,no school domain or URL override found,1
Kentucky State,Southern Intercollegiate Athletic,2025-26,no school domain or URL override found,1
Kutztown,Pennsylvania State Athletic,2025-26,no school domain or URL override found,1
Lane,Southern Intercollegiate Athletic,2025-26,no school domain or URL override found,1
Lenoir Rhyne,South Atlantic,2025-26,no school domain or URL override found,1
Malone,Great Midwest Athletic,2025-26,no school domain or URL override found,1
Mercy College,East Coast,2025-26,no school domain or URL override found,1
Minnesota Crookston,Northern Sun Intercollegiate,2025-26,no school domain or URL override found,1
Minnesota State  Moorhead,Northern Sun Intercollegiate,2025-26,no school domain or URL override found,1
Minnesota State Mankato,Northern Sun Intercollegiate,2025-26,no school domain or URL override found,1
Mount Olive,Conference Carolinas,2025-26,no school domain or URL override found,1
Ouachita Baptist,Great American,2025-26,no school domain or URL override found,1
Pace,Northeast 10,2025-26,no school domain or URL override found,1
Point Loma,PacWest,2025-26,no school domain or URL override found,1
Rogers State,Mid-America Intercollegiate,2025-26,no school domain or URL override found,1
Shepherd University,Pennsylvania State Athletic,2025-26,no school domain or URL override found,1
Shorter,Conference Carolinas,2025-26,no school domain or URL override found,1
Slippery Rock,Pennsylvania State Athletic,2025-26,no school domain or URL override found,1
Southern Connecticut State,Northeast 10,2025-26,no school domain or URL override found,1
Southwestern Oklahoma State,Great American,2025-26,no school domain or URL override found,1
St Cloud State,Northern Sun Intercollegiate,2025-26,no school domain or URL override found,1
St Marys TX,Lone Star,2025-26,no school domain or URL override found,1
Texas Dallas,Lone Star,2025-26,no school domain or URL override found,1
Trevecca Nazarene,Gulf South,2025-26,no school domain or URL override found,1
Tusculum,South Atlantic,2025-26,no school domain or URL override found,1
Union TN,Gulf South,2025-26,no school domain or URL override found,1
Virginia Union,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,1
West Alabama,Gulf South,2025-26,no school domain or URL override found,1
West Liberty,Mountain East,2025-26,no school domain or URL override found,1
