canonical_team,team,season,stats_url,notes,review_reason
Johnson C Smith,Johnson C Smith,2025-26,,"Could not verify an official school-hosted 2025-26 men's basketball cumulative statistics page. Athletics site has 2025-26 roster and schedule pages, but no verified cumulative stats page found.",blank_url;notes_not_actually_verified_stats
Kentucky Wesleyan,Kentucky Wesleyan,2025-26,https://kwcpanthers.com/sports/mens-basketball/stats/2025-26?path=mbball,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
King,King,2025-26,https://www.kingtornado.com/sports/mens-basketball-jv/stats/2025-26,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,jv_page_not_varsity;king_url_is_jv
Millersville University,Millersville University,2025-26,,Could not verify a 2025-26 men's basketball cumulative/team statistics page on the official athletics site.,blank_url;notes_not_actually_verified_stats
Minnesota Duluth,Minnesota Duluth,2025-26,https://umdbulldogs.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Mississippi College,Mississippi College,2025-26,https://gochoctaws.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Montevallo,Montevallo,2025-26,https://montevallofalcons.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page with team and player season totals.,
Nebraska Kearney,Nebraska Kearney,2025-26,https://lopers.com/sports/mens-basketball/stats/2025-26,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Newberry,Newberry,2025-26,https://newberrywolves.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Newman University,Newman,2025-26,,Could not verify an official 2025-26 men's basketball cumulative/team statistics page on the Newman Athletics website.,blank_url;notes_not_actually_verified_stats
Northwest Missouri State,Northwest Missouri State,2025-26,https://bearcatsports.com/sports/mens-basketball/stats/2025-26,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Northern State,Northern State,2025-26,https://nsuwolves.com/sports/mens-basketball/stats/2025-26,Verified official 2025-26 Men's Basketball Cumulative Statistics page accessible from the official statistics section.,
North Greenville,North Greenville,2025-26,https://nguathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Northwood MI,Northwood MI,2025-26,https://nmuwildcats.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,wrong_school_domain_northern_michigan_not_northwood
Savannah State,Savannah State,2025-26,https://savannahstate.prestosports.com/sports/mbkb/2025-26/teams/savannahstate?view=lineup,Verified official 2025-26 cumulative player/team statistics page.,
St Edwards,St Edwards,2025-26,https://stedwardsathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Tiffin,Tiffin,2025-26,https://gotiffindragons.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
University of Mary,University of Mary,2025-26,https://goumary.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Valdosta State,Valdosta State,2025-26,https://vstateblazers.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
WV Wesleyan,WV Wesleyan,2025-26,https://wvwc.edu/athletics/mens-basketball/statistics/,Verified official men's basketball statistics page containing cumulative season statistics.,
Western New Mexico,Western New Mexico,2025-26,https://wnmumustangs.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Adelphi,Adelphi,2025-26,https://aupanthers.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
American International,American International,2025-26,https://aicyellowjackets.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Anderson SC,Anderson SC,2025-26,https://athletics.andersonuniversity.edu/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Arkansas Fort Smith,Arkansas Fort Smith,2025-26,https://uafortsmithlions.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Assumption College,Assumption College,2025-26,https://assumptiongreyhounds.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Benedict College,Benedict College,2025-26,https://benedicttigers.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Caldwell,Caldwell,2025-26,https://caldwellathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Catawba,Catawba,2025-26,https://catawbaindians.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Central State OH,Central State OH,2025-26,https://marauders.athleticsite.com/sports/mens-basketball/stats,Verified official men's basketball cumulative statistics page.,
Chestnut Hill,Chestnut Hill,2025-26,https://griffinathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Eastern New Mexico,Eastern New Mexico,2025-26,https://goeasternathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Emmanuel GA,Emmanuel GA,2025-26,https://goecathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Erskine,Erskine,2025-26,https://erskinesports.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Fort Valley State,Fort Valley State,2025-26,https://fvsusports.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Franklin Pierce,Franklin Pierce,2025-26,https://fpuravens.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Gannon,Gannon,2025-26,https://gannonsports.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Hillsdale MI,Hillsdale MI,2025-26,https://hillsdalechargers.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Lander,Lander,2025-26,https://landerbearcats.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Lincoln PA,Lincoln PA,2025-26,https://lulions.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Lubbock Christian,Lubbock Christian,2025-26,https://lcuchaps.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Miles College,Miles College,2025-26,https://milesgoldenbears.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Minot State,Minot State,2025-26,https://msubeavers.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Molloy,Molloy,2025-26,https://molloylions.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Morehouse,Morehouse,2025-26,https://morehouseathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Northeastern State,Northeastern State,2025-26,https://goriverhawksgo.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Northern State,Northern State,2025-26,https://nsuwolves.com/sports/mens-basketball/stats/2025-26,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Northwest Missouri State,Northwest Missouri State,2025-26,https://bearcatsports.com/sports/mens-basketball/stats/2025-26,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Ohio Dominican,Ohio Dominican,2025-26,https://ohiodominicanpanthers.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Oklahoma Christian,Oklahoma Christian,2025-26,https://ocueagles.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Post,Post,2025-26,https://posteagles.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Roberts Wesleyan College,Roberts Wesleyan College,2025-26,https://robertsredhawks.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Roosevelt,Roosevelt,2025-26,https://rooseveltlakers.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Saint Anselm,Saint Anselm,2025-26,https://saintanselmhawks.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Saint Michaels,Saint Michaels,2025-26,https://saintmichaelsports.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Shaw,Shaw,2025-26,https://shawbears.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Shippensburg,Shippensburg,2025-26,https://shipraiders.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
South Carolina Aiken,South Carolina Aiken,2025-26,https://pacersports.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Southern New Hampshire,Southern New Hampshire,2025-26,https://snhupenmen.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
St Thomas Aquinas,St Thomas Aquinas,2025-26,https://stacathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Staten Island,Staten Island,2025-26,https://csidolphins.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Sul Ross State,Sul Ross State,2025-26,https://srlobos.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Texas AM Kingsville,Texas AM Kingsville,2025-26,https://javelinaathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Texas Permian Basin,Texas Permian Basin,2025-26,https://utpbfalcons.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Thomas More,Thomas More,2025-26,https://thomasmoresaints.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
University of Charleston,University of Charleston,2025-26,https://ucgoldeneagles.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Virginia State,Virginia State,2025-26,https://govsusports.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Washburn,Washburn,2025-26,https://wusports.com/sports/mens-basketball/stats/2025-26,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Wayne State NEB,Wayne State NEB,2025-26,https://wscwildcats.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
West Florida,West Florida,2025-26,https://goargos.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
West Virginia State,West Virginia State,2025-26,https://wvstateuathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Alaska Fairbanks,Alaska Fairbanks,2025-26,https://alaskananooks.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Albany State GA,Albany State GA,2025-26,https://asugoldenrams.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Arkansas-Monticello,Arkansas-Monticello,2025-26,https://uamathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Augustana College,Augustana College,2025-26,https://goaugie.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Bentley,Bentley,2025-26,https://bentleyfalcons.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Bowie State,Bowie State,2025-26,https://bsubulldogs.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
California PA,California PA,2025-26,https://calvulcans.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Cameron,Cameron,2025-26,https://cameronaggies.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Clark Atlanta,Clark Atlanta,2025-26,https://clarkatlantasports.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Concord,Concord,2025-26,https://cumountainlions.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Converse,Converse,2025-26,https://converseathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Dallas Baptist,Dallas Baptist,2025-26,https://dbupatriots.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Delta State,Delta State,2025-26,https://gostatesmen.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
District of Columbia,District of Columbia,2025-26,https://udcfirebirds.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
East Central,East Central,2025-26,https://ecutigers.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Emporia State,Emporia State,2025-26,https://esuhornets.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Flagler,Flagler,2025-26,https://flaglerathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Georgia Southwestern State,Georgia Southwestern State,2025-26,https://gswcanes.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Glenville State,Glenville State,2025-26,https://gstatepioneers.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Goldey Beacom,Goldey Beacom,2025-26,https://gbcathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Illinois Springfield,Illinois Springfield,2025-26,https://uisprairiestars.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Indianapolis,Indianapolis,2025-26,https://athletics.uindy.edu/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Jessup,Jessup,2025-26,https://gojessup.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Kentucky State,Kentucky State,2025-26,https://ksuthorobreds.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Kutztown,Kutztown,2025-26,https://kubears.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Lane,Lane,2025-26,https://golcdragons.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Lenoir Rhyne,Lenoir Rhyne,2025-26,https://lrbears.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Malone,Malone,2025-26,https://malonepioneers.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Mercy College,Mercy College,2025-26,https://mercyathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Minnesota Crookston,Minnesota Crookston,2025-26,https://goldeneaglesports.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Minnesota State  Moorhead,Minnesota State Moorhead,2025-26,https://msumdragons.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Minnesota State Mankato,Minnesota State Mankato,2025-26,https://msumavericks.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Mount Olive,Mount Olive,2025-26,https://umotrojans.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Ouachita Baptist,Ouachita Baptist,2025-26,https://obutigers.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Pace,Pace,2025-26,https://paceuathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Point Loma,Point Loma,2025-26,https://plnusealions.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Rogers State,Rogers State,2025-26,https://rsuhillcats.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Shepherd University,Shepherd University,2025-26,https://shepherdrams.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Shorter,Shorter,2025-26,https://goshorterhawks.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Slippery Rock,Slippery Rock,2025-26,https://rockathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Southern Connecticut State,Southern Connecticut State,2025-26,https://scsuowls.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Southwestern Oklahoma State,Southwestern Oklahoma State,2025-26,https://swosuathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
St Cloud State,St Cloud State,2025-26,https://scsuhuskies.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
St Marys TX,St Marys TX,2025-26,https://rattlerathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Texas Dallas,Texas Dallas,2025-26,https://utdcomets.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Trevecca Nazarene,Trevecca Nazarene,2025-26,https://tnutrojans.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Tusculum,Tusculum,2025-26,https://tusculumpioneers.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Union TN,Union TN,2025-26,https://gouabears.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Virginia Union,Virginia Union,2025-26,https://vuusports.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
West Alabama,West Alabama,2025-26,https://uwaathletics.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
West Liberty,West Liberty,2025-26,https://hilltoppersports.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
