player_name,player_slug,destination_school,destination_school_slug,target_event_date,sports_reference_url,sports_reference_rows,finding,recommended_action,resolved_source_school,resolved_source_level,resolved_source_conference,notes
Emilis Butkus,emilis-butkus,UC Irvine,uc-irvine,2022-09-01,https://www.sports-reference.com/cbb/players/emilis-butkus-1.html,2022-23 UC Irvine 12g 2.8mpg 2.1ppg,big_west_first_no_prior_stats,exclude_not_inbound_transfer,,,,No Sports Reference row before 2022-23.
Francis Nwaokorie,francis-nwaokorie,UC San Diego,uc-san-diego,2020-08-30,https://www.sports-reference.com/cbb/players/francis-nwaokorie-1.html,2021-22 UC San Diego 29g 26.4mpg 11.8ppg | 2022-23 UC San Diego 29g 32.9mpg 12.8ppg | 2023-24 UC San Diego 33g 31.5mpg 11.3ppg | 2024-25 Loyola Chicago 37g 22.6mpg 5.4ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is UC San Diego; later rows are outbound transfer history.
Jac Mani,jac-mani,UC Davis,uc-davis,2021-07-13,https://www.sports-reference.com/cbb/players/jac-mani-1.html,2022-23 UC Davis 3g 10.0mpg 5.0ppg | 2023-24 UC Davis 5g 5.2mpg 2.0ppg | 2024-25 UC Davis 10g 5.5mpg 2.2ppg | 2025-26 Fresno State 26g 11.8mpg 6.0ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is UC Davis; later rows are outbound transfer history.
Jack Whitbourn,jack-whitbourn,UC Riverside,uc-riverside,2023-10-19,https://www.sports-reference.com/cbb/players/jack-whitbourn-1.html,2024-25 UC Riverside 34g 13.2mpg 3.3ppg | 2025-26 Fordham 11g 23.8mpg 8.4ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is UC Riverside; later rows are outbound transfer history.
Jacob Gilchrist,jacob-gilchrist,UC Davis,uc-davis,2023-11-14,https://www.sports-reference.com/cbb/search/search.fcgi?search=Jacob+Gilchrist,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: ENROLLMENT D2 Chico State 2025-10-19
Justin Page,justin-page,Cal Poly,cal-poly,2022-11-07,https://www.sports-reference.com/cbb/players/justin-page-1.html,2023-24 Cal Poly 31g 20.7mpg 5.1ppg | 2024-25 Niagara 30g 27.9mpg 5.3ppg | 2025-26 Niagara 21g 30.1mpg 12.1ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is Cal Poly; later rows are outbound transfer history.
Kaleb Smith,kaleb-smith,UC Riverside,uc-riverside,2022-04-14,https://www.sports-reference.com/cbb/players/kaleb-smith-1.html,2023-24 UC Riverside 34g 19.1mpg 7.5ppg | 2024-25 UC Riverside 34g 26.6mpg 11.0ppg | 2025-26 Grand Canyon 22g 8.0mpg 1.4ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is UC Riverside; later rows are outbound transfer history.
Kam Martin,kamren-martin,Long Beach State,long-beach-state,2023-11-02,https://www.sports-reference.com/cbb/players/kam-martin-1.html,2024-25 Long Beach State 32g 28.0mpg 8.4ppg | 2025-26 Samford 32g 16.7mpg 5.7ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is Long Beach State; later rows are outbound transfer history.
Kareem Watson,kareem-watson,Cal State Bakersfield,cal-state-bakersfield,2021-06-27,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: TRANSFER D1 Delaware State 2026-04-07 | ENROLLMENT D1 Delaware State 2024-09-20
Kaseem Watson,kaseem-watson,Cal State Bakersfield,cal-state-bakersfield,2021-11-11,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: TRANSFER D1 UTEP 2026-04-05 | ENROLLMENT D1 UTEP 2025-09-20 | TRANSFER D1 Delaware State 2025-03-24 | ENROLLMENT D1 Delaware State 2024-09-20
Kilian Brockhoff,kilian-brockhoff,UC Santa Barbara,uc-santa-barbara,2023-07-20,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: TRANSFER D1 William & Mary 2026-04-09 | ENROLLMENT D1 William & Mary 2025-09-20 | TRANSFER D1 Saint Louis 2025-03-28 | ENROLLMENT D1 Saint Louis 2024-09-20
Kody Williams,kody-williams,Hawaii,hawaii,2024-10-30,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: ENROLLMENT D1 Hampton 2025-09-20 | TRANSFER D1 Hampton 2026-04-03
Lamine Niang,lamine-niang,Cal State Northridge,cal-state-northridge,2022-04-28,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: TRANSFER D1 UT Martin 2026-04-01 | ENROLLMENT D1 UT Martin 2024-09-20
Matija Belić,matija-beli,UC Santa Barbara,uc-santa-barbara,2022-06-09,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: ENROLLMENT D1 Wyoming 2024-09-20
"Michael Pearson, Jr.",michael-pearson-jr,UC San Diego,uc-san-diego,2021-06-10,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: ENROLLMENT D2 Cal State Los Angeles 2024-08-22
Mor Seck,mor-seck,Hawaii,hawaii,2022-04-25,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: TRANSFER D1 Fresno State 2025-03-24 | ENROLLMENT D1 Fresno State 2024-09-20 | ENROLLMENT D1 Towson 2025-09-20 | TRANSFER D1 Towson 2026-04-10
Nate Pickens,nate-pickens,UC Riverside,uc-riverside,2021-09-25,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: ENROLLMENT D1 Brigham Young 2025-09-20
Osahon Obasohan,osa-obasohan,Hawaii,hawaii,2024-09-04,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: ENROLLMENT D2 Northwest Missouri State 2025-10-07 | TRANSFER D2 Northwest Missouri State 2026-04-14
Quentin Jones,quentin-jones,Cal Poly,cal-poly,2022-06-28,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: TRANSFER D1 Northern Illinois 2025-03-26 | ENROLLMENT D1 Northern Illinois 2024-09-20 | ENROLLMENT D1 Saint Louis 2025-09-20
Quin Patterson,quin-patterson,UC San Diego,uc-san-diego,2021-03-24,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: ENROLLMENT D1 Idaho State 2025-09-20
Shaumba Ngoyi,shaumba-ngoyi,Long Beach State,long-beach-state,2022-01-20,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: ENROLLMENT D1 Eastern Washington 2024-09-20
Tom Beattie,tom-beattie,Hawaii,hawaii,2023-06-03,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: ENROLLMENT D1 UC San Diego 2025-09-20
Ugnius Jaruševičius,ugnius-jarueviius,Cal State Bakersfield,cal-state-bakersfield,2022-05-09,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: TRANSFER D1 Nebraska 2026-04-21 | ENROLLMENT D1 Nebraska 2025-09-20 | TRANSFER D1 Central Michigan 2025-03-24 | ENROLLMENT D1 Central Michigan 2024-09-20
Varick Lewis,varick-lewis,Long Beach State,long-beach-state,2022-10-01,,,big_west_first_then_transferred_out_by_vc_timeline,exclude_not_inbound_transfer,,,,Sports Reference request was rate-limited; Verbal timeline has no prior transfer/enrollment source event before Big West. Later events: ENROLLMENT D2 Jessup 2025-09-17 | TRANSFER D2 Jessup 2026-03-17
