player_name,player_slug,source_school,source_school_slug,source_conference,destination_school,destination_school_slug,first_big_west_season,expected_source_season,position,height,weight,class,local_cache_status,recommended_next_step,current_missing_reason,source_status,source_evidence,next_action,sports_reference_url,cache_path,status,matched_count,matched_players,missing_players,outcome_status,outcome_evidence,source_url
Drew Carter,drew-carter,Colorado,colorado,PAC 12,UC Davis,uc-davis,2023-24,2022-23,Shooting Guard,75,195,COLLEGE_SENIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/colorado/men/2023.html,data/cache/sports_reference_source_schools/colorado_2023.html,cached,0,,Drew Carter,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-davis/men/2024.html,https://www.verbalcommits.com/players/drew-carter
Ben Griscti,benjamin-griscti,Incarnate Word,incarnate-word,Southland,UC Riverside,uc-riverside,2023-24,2022-23,Power Forward,83,220,INELIGIBLE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/incarnate-word/men/2023.html,data/cache/sports_reference_source_schools/incarnate-word_2023.html,cached,0,,Ben Griscti,found_official_school_page,https://gohighlanders.com/sports/mens-basketball/stats/2023-24,https://www.verbalcommits.com/players/benjamin-griscti
Clancy Bird,clancy-bird,Seattle,seattle,WAC,UC Riverside,uc-riverside,2023-24,2022-23,Power Forward,81,200,COLLEGE_SENIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/seattle/men/2023.html,data/cache/sports_reference_source_schools/seattle_2023.html,cached,0,,Clancy Bird,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-riverside/men/2024.html,https://www.verbalcommits.com/players/clancy-bird
Luka Tarlać,luka-tarla,Utah,utah,PAC 12,Cal Poly,cal-poly,2024-25,2023-24,Shooting Guard,79,211,COLLEGE_SENIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/utah/men/2024.html,data/cache/sports_reference_source_schools/utah_2024.html,cached,0,,Luka Tarlać,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-poly/men/2025.html,https://www.verbalcommits.com/players/luka-tarla
"Ramel Lloyd, Jr.",ramel-lloyd-jr,Nebraska,nebraska,Big Ten,Long Beach State,long-beach-state,2024-25,2023-24,Point Guard,78,190,COLLEGE_JUNIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/nebraska/men/2024.html,data/cache/sports_reference_source_schools/nebraska_2024.html,cached,0,,"Ramel Lloyd, Jr.",found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,https://www.verbalcommits.com/players/ramel-lloyd-jr
"Carl Daughtery, Jr.",carl-daughtery-jr,Central Arkansas,central-arkansas,ASUN,UC Davis,uc-davis,2024-25,2023-24,Shooting Guard,75,170,COLLEGE_SENIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2024.html,data/cache/sports_reference_source_schools/central-arkansas_2024.html,cached,0,,"Carl Daughtery, Jr.",found_official_school_page,https://ucdavisaggies.com/sports/mens-basketball/stats/2024-25,https://www.verbalcommits.com/players/carl-daughtery-jr
Parker Strauss,parker-strauss,Northwestern,northwestern,Big Ten,UC Riverside,uc-riverside,2024-25,2023-24,Shooting Guard,76,175,COLLEGE_SOPHOMORE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_redshirt_no_source_stats,VC has redshirt/expected-redshirt evidence during the expected source season.,exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/northwestern/men/2024.html,data/cache/sports_reference_source_schools/northwestern_2024.html,cached,0,,Parker Strauss,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-riverside/men/2025.html,https://www.verbalcommits.com/players/parker-strauss
Dailin Smith,dailin-smith,Alabama A&M,alabama-a-m,SWAC,Cal State Bakersfield,cal-state-bakersfield,2025-26,2024-25,Shooting Guard,78,195,COLLEGE_SENIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_redshirt_no_source_stats,VC has redshirt/expected-redshirt evidence during the expected source season.,exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/alabama-am/men/2025.html,data/cache/sports_reference_source_schools/alabama-a-m_2025.html,cached,0,,Dailin Smith,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2026.html,https://www.verbalcommits.com/players/dailin-smith
Ronald Jessamy,ronald-jessamy,Tennessee State,tennessee-state,Ohio Valley,Cal State Bakersfield,cal-state-bakersfield,2025-26,2024-25,Power Forward,80,220,COLLEGE_JUNIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/tennessee-state/men/2025.html,data/cache/sports_reference_source_schools/tennessee-state_2025.html,cached,0,,Ronald Jessamy,found_official_school_page,https://gorunners.com/sports/mens-basketball/stats/2025-26,https://www.verbalcommits.com/players/ronald-jessamy
Aleks Szymczyk,aleksander-szymczyk,Charlotte,charlotte,American,Cal State Northridge,cal-state-northridge,2025-26,2024-25,Center,82,250,COLLEGE_JUNIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/charlotte/men/2025.html,data/cache/sports_reference_source_schools/charlotte_2025.html,cached,0,,Aleks Szymczyk,found_official_school_page,https://gomatadors.com/sports/mens-basketball/stats/2025-26,https://www.verbalcommits.com/players/aleksander-szymczyk
"James Evans, Jr.",james-evans,UNLV,unlv,Mountain West,Cal State Northridge,cal-state-northridge,2025-26,2024-25,Small Forward,79,212,COLLEGE_FRESHMAN,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_redshirt_no_source_stats,VC has redshirt/expected-redshirt evidence during the expected source season.,exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/nevada-las-vegas/men/2025.html,data/cache/sports_reference_source_schools/unlv_2025.html,cached,0,,"James Evans, Jr.",found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html,https://www.verbalcommits.com/players/james-evans
Josh O'Garro,josh-ogarro,Texas State,texas-state,Sun Belt,Cal State Northridge,cal-state-northridge,2025-26,2024-25,Shooting Guard,78,175,COLLEGE_SENIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/texas-state/men/2025.html,data/cache/sports_reference_source_schools/texas-state_2025.html,cached,0,,Josh O'Garro,found_official_school_page,https://gomatadors.com/sports/mens-basketball/stats/2025-26,https://www.verbalcommits.com/players/josh-ogarro
Dre Bullock,quandre-bullock,South Dakota,south-dakota,Summit League,Hawaii,hawaii,2025-26,2024-25,Shooting Guard,78,190,COLLEGE_SENIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/south-dakota/men/2025.html,data/cache/sports_reference_source_schools/south-dakota_2025.html,cached,0,,Dre Bullock,found_official_school_page,https://hawaiiathletics.com/sports/mens-basketball/stats/2025-26,https://www.verbalcommits.com/players/quandre-bullock
J.J. Chaikovsky,jj-chaikovsky,Cal State Northridge,cal-state-northridge,Big West,Long Beach State,long-beach-state,2025-26,2024-25,Small Forward,79,190,COLLEGE_SOPHOMORE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_redshirt_no_source_stats,VC has redshirt/expected-redshirt evidence during the expected source season.,exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html,data/cache/sports_reference_source_schools/cal-state-northridge_2025.html,cached,0,,J.J. Chaikovsky,found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,https://www.verbalcommits.com/players/jj-chaikovsky
Petar Majstorović,petar-majstorovi,Syracuse,syracuse,ACC,Long Beach State,long-beach-state,2025-26,2024-25,Center,80,215,COLLEGE_SOPHOMORE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/syracuse/men/2025.html,data/cache/sports_reference_source_schools/syracuse_2025.html,cached,0,,Petar Majstorović,found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,https://www.verbalcommits.com/players/petar-majstorovi
"Shay Johnson, Jr.",demarshay-johnson-jr,San Diego State,san-diego-state,Mountain West,Long Beach State,long-beach-state,2025-26,2024-25,Center,82,210,COLLEGE_SENIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2025.html,data/cache/sports_reference_source_schools/san-diego-state_2025.html,cached,0,,"Shay Johnson, Jr.",found_official_school_page,https://longbeachstate.com/sports/mens-basketball/stats/2025-26,https://www.verbalcommits.com/players/demarshay-johnson-jr
"Marqui Worthy, Jr.",marqui-worthy,Massachusetts,massachusetts,Atlantic 10,UC Riverside,uc-riverside,2025-26,2024-25,Shooting Guard,76,0,COLLEGE_JUNIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/massachusetts/men/2025.html,data/cache/sports_reference_source_schools/massachusetts_2025.html,cached,0,,"Marqui Worthy, Jr.",found_sports_reference,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,https://www.verbalcommits.com/players/marqui-worthy
Dimitrije Vukićević,dimitrije-vukievi,Washington State,washington-state,West Coast,UC San Diego,uc-san-diego,2025-26,2024-25,Center,84,0,COLLEGE_FRESHMAN,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_redshirt_no_source_stats,VC has redshirt/expected-redshirt evidence during the expected source season.,exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/washington-state/men/2025.html,data/cache/sports_reference_source_schools/washington-state_2025.html,cached,0,,Dimitrije Vukićević,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html,https://www.verbalcommits.com/players/dimitrije-vukievi
Trap Johnson,trap-johnson,Montana State,montana-state,Big Sky,UC San Diego,uc-san-diego,2025-26,2024-25,Point Guard,78,200,COLLEGE_FRESHMAN,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_redshirt_no_source_stats,VC has redshirt/expected-redshirt evidence during the expected source season.,exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/montana-state/men/2025.html,data/cache/sports_reference_source_schools/montana-state_2025.html,cached,0,,Trap Johnson,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html,https://www.verbalcommits.com/players/trap-johnson
Hosana Kitenge,hosana-kitenge,Louisiana,louisiana,Sun Belt,UC Santa Barbara,uc-santa-barbara,2025-26,2024-25,Center,80,235,COLLEGE_SENIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/louisiana-lafayette/men/2025.html,data/cache/sports_reference_source_schools/louisiana_2025.html,cached,0,,Hosana Kitenge,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2026.html,https://www.verbalcommits.com/players/hosana-kitenge
