player_name,source_school,source_level,destination_school,first_big_west_season,expected_source_season,collection_bucket,source_status,source_evidence,outcome_status,outcome_evidence,next_action
Hosana Kitenge,Louisiana,D1,UC Santa Barbara,2025-26,2024-25,needs_source_stats,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",found_sports_reference,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2026.html,exclude_or_mark_no_source_stats
J.J. Chaikovsky,Cal State Northridge,D1,Long Beach State,2025-26,2024-25,needs_source_stats,likely_redshirt_no_source_stats,VC has redshirt/expected-redshirt evidence during the expected source season.,found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,exclude_or_mark_no_source_stats
"James Evans, Jr.",UNLV,D1,Cal State Northridge,2025-26,2024-25,needs_source_stats,likely_redshirt_no_source_stats,VC has redshirt/expected-redshirt evidence during the expected source season.,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html,exclude_or_mark_no_source_stats
"Marqui Worthy, Jr.",Massachusetts,D1,UC Riverside,2025-26,2024-25,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/massachusetts/men/2025.html,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,ready_after_rebuild
Petar Majstorović,Syracuse,D1,Long Beach State,2025-26,2024-25,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/syracuse/men/2025.html,found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,ready_after_rebuild
Ronald Jessamy,Tennessee State,D1,Cal State Bakersfield,2025-26,2024-25,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/tennessee-state/men/2025.html,found_official_school_page,https://gorunners.com/sports/mens-basketball/stats/2025-26,ready_after_rebuild
"Shay Johnson, Jr.",San Diego State,D1,Long Beach State,2025-26,2024-25,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2025.html,found_official_school_page,https://longbeachstate.com/sports/mens-basketball/stats/2025-26,ready_after_rebuild
Trap Johnson,Montana State,D1,UC San Diego,2025-26,2024-25,needs_source_stats,likely_redshirt_no_source_stats,VC has redshirt/expected-redshirt evidence during the expected source season.,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html,exclude_or_mark_no_source_stats
Kaleb Higgins,Holmes Community College,JUCO,Cal State Bakersfield,2021-22,2020-21,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2022.html,manual_juco_source_stats_then_massey_check
Amari Stroud,Allan Hancock College,JUCO,Long Beach State,2022-23,2021-22,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html,manual_juco_source_stats_then_massey_check
Chayce Polynice,College of Southern Idaho,JUCO,Long Beach State,2022-23,2021-22,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html,manual_juco_source_stats_then_massey_check
Evans Kipruto,Barton Community College,JUCO,UC Santa Barbara,2022-23,2021-22,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2023.html,manual_juco_source_stats_then_massey_check
Marvin McGhee III,South Georgia Technical College,JUCO,Cal State Bakersfield,2022-23,2021-22,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2023.html,manual_juco_source_stats_then_massey_check
Sam Manu,College of San Mateo,JUCO,UC Davis,2022-23,2021-22,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-davis/men/2023.html,manual_juco_source_stats_then_massey_check
Cam Malray,Dodge City Community College,JUCO,Cal Poly,2023-24,2022-23,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html,manual_juco_source_stats_then_massey_check
Chip Brunt,Gulf Coast State College,JUCO,UC Riverside,2023-24,2022-23,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-riverside/men/2024.html,manual_juco_source_stats_then_massey_check
Corey Stephenson,Northeast Mississippi Community College,JUCO,Cal State Bakersfield,2023-24,2022-23,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2024.html,manual_juco_source_stats_then_massey_check
Joel Armotrading,College of Southern Idaho,JUCO,Cal Poly,2023-24,2022-23,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html,manual_juco_source_stats_then_massey_check
Keonte Jones,Midland College,JUCO,Cal State Northridge,2023-24,2022-23,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2024.html,manual_juco_source_stats_then_massey_check
Guzmán Vasilić,Southeastern Oklahoma State,D2,Cal Poly,2024-25,2023-24,needs_source_stats,confirmed_redshirt_no_source_stats,Known D2 redshirt/no-stat source case.,found_sports_reference,https://www.sports-reference.com/cbb/players/guzman-vasilic-1.html,exclude_or_mark_no_source_stats
Christian Richardson,Butler Community College,JUCO,Long Beach State,2024-25,2023-24,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,manual_juco_source_stats_then_massey_check
"Cory Curtis, Jr.",Independence Community College,JUCO,Long Beach State,2024-25,2023-24,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,manual_juco_source_stats_then_massey_check
Freddie Cooper,Moberly Area Community College,JUCO,Cal State Fullerton,2024-25,2023-24,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2025.html,manual_juco_source_stats_then_massey_check
Gloire Goma,Clarendon College,JUCO,Cal State Bakersfield,2024-25,2023-24,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2025.html,manual_juco_source_stats_then_massey_check
Jamaal Unuakhalu,Moorpark College,JUCO,UC Davis,2024-25,2023-24,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-davis/men/2025.html,manual_juco_source_stats_then_massey_check
Jemel Jones,South Suburban College,JUCO,Cal State Bakersfield,2024-25,2023-24,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2025.html,manual_juco_source_stats_then_massey_check
Marvin McGhee IV,Bishop State Community College,JUCO,Cal State Bakersfield,2024-25,2023-24,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2025.html,manual_juco_source_stats_then_massey_check
Shakiru Odunewu,West Valley College,JUCO,Cal State Bakersfield,2024-25,2023-24,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2025.html,manual_juco_source_stats_then_massey_check
Christian Jones,Angelina College,JUCO,Long Beach State,2025-26,2024-25,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,manual_juco_source_stats_then_massey_check
"Cyril Franklin, Jr.",College of Southern Nevada,JUCO,UC Davis,2025-26,2024-25,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-davis/men/2026.html,manual_juco_source_stats_then_massey_check
Davis White,College of the Sequoias,JUCO,Cal State Fullerton,2025-26,2024-25,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html,manual_juco_source_stats_then_massey_check
Davius Loury,John A. Logan College,JUCO,Cal State Northridge,2025-26,2024-25,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html,manual_juco_source_stats_then_massey_check
E.J. Spillman,College of the Sequoias,JUCO,UC Riverside,2025-26,2024-25,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,manual_juco_source_stats_then_massey_check
Immanuel Lewis,Atlantic Cape Community College,JUCO,Long Beach State,2025-26,2024-25,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,manual_juco_source_stats_then_massey_check
Isaac Finlinson,Snow College,JUCO,Hawaii,2025-26,2024-25,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html,manual_juco_source_stats_then_massey_check
Jai Chisolm,University of South Carolina Salkehatchie,JUCO,Cal State Northridge,2025-26,2024-25,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html,manual_juco_source_stats_then_massey_check
Jake Davis,West Valley College,JUCO,Cal Poly,2025-26,2024-25,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-poly/men/2026.html,manual_juco_source_stats_then_massey_check
Jonathan Noudjihidi,Coahoma Community College,JUCO,UC Davis,2025-26,2024-25,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-davis/men/2026.html,manual_juco_source_stats_then_massey_check
Devin Tillis,UNLV,D1,UC Irvine,2021-22,,needs_outcome_stats,found,https://www.sports-reference.com/cbb/schools/nevada-las-vegas/men/2021.html,confirmed_redshirt_no_big_west_stats,User confirmed Devin Tillis redshirted in 2021-22.,exclude_or_mark_no_big_west_stats
Juan Munoz,Longwood,D1,Hawaii,2021-22,,needs_outcome_stats,found,https://www.sports-reference.com/cbb/schools/longwood/men/2021.html,confirmed_injury_no_big_west_stats,User confirmed Juan Munoz was injured in 2021-22 and 2022-23.,exclude_or_mark_no_big_west_stats
Logan McLaughlin,Abilene Christian,D1,Cal Poly,2022-23,,needs_outcome_stats,confirmed_out_of_scope_juco_path,User confirmed the listed pathway should run through JUCO in 2022-23.,confirmed_out_of_scope_juco_path,User confirmed Logan McLaughlin played at JUCO in 2022-23 and was injured in 2023-24.,exclude_out_of_first_model_scope
Pablo Tamba,Idaho State,D1,UC Davis,2022-23,,needs_outcome_stats,confirmed_out_of_scope_juco_path,User confirmed Pablo Tamba was at JUCO in 2022-23.,confirmed_out_of_scope_juco_path,User confirmed Pablo Tamba was at JUCO in 2022-23.,exclude_out_of_first_model_scope
Austin Johnson,North Carolina A&T,D1,Long Beach State,2023-24,,needs_outcome_stats,found,https://www.sports-reference.com/cbb/schools/north-carolina-at/men/2023.html,confirmed_dnp_no_big_west_stats,User confirmed Austin Johnson DNP in 2023-24.,exclude_or_mark_no_big_west_stats
Marsalis Roberson,California,D1,UC Davis,2023-24,,needs_outcome_stats,found,https://www.sports-reference.com/cbb/schools/california/men/2023.html,confirmed_injury_dnp_no_big_west_stats,User confirmed Marsalis Roberson was injured/DNP in 2023-24.,exclude_or_mark_no_big_west_stats
P.J. Fuller II,Washington,D1,Cal State Northridge,2023-24,,needs_outcome_stats,found,https://www.sports-reference.com/cbb/schools/washington/men/2023.html,confirmed_dnp_no_big_west_stats,User confirmed P.J. Fuller II DNP in 2023-24.,exclude_or_mark_no_big_west_stats
Quincy McGriff,Duquesne,D1,Cal State Northridge,2023-24,,needs_outcome_stats,found,https://www.sports-reference.com/cbb/schools/duquesne/men/2023.html,confirmed_dnp_no_big_west_stats,User confirmed Quincy McGriff was at JUCO in 2021-22 and DNP in 2023-24.,exclude_or_mark_no_big_west_stats
Grant Gondrezick II,Detroit Mercy,D1,Long Beach State,2025-26,,needs_outcome_stats,found,https://www.sports-reference.com/cbb/schools/detroit-mercy/men/2025.html,confirmed_dnp_no_big_west_stats,User confirmed Grant Gondrezick II DNP in 2023-24 and 2025-26; Sports Reference URL provided for source stats.,exclude_or_mark_no_big_west_stats
Quinton Webb,New Mexico,D1,Cal State Northridge,2025-26,,needs_outcome_stats,found,https://www.sports-reference.com/cbb/schools/new-mexico/men/2025.html,confirmed_redshirt_no_big_west_stats,User confirmed Quinton Webb redshirted in 2025-26.,exclude_or_mark_no_big_west_stats
Tanner Cuff,Evansville,D1,Hawaii,2025-26,,needs_outcome_stats,found,https://www.sports-reference.com/cbb/schools/evansville/men/2025.html,confirmed_injury_dnp_no_big_west_stats,"User confirmed Tanner Cuff played at Evansville in 2023-24 and 2024-25, had D2 seasons before Evansville, and had an ACL injury/DNP in 2025-26.",exclude_or_mark_no_big_west_stats
Tyson Dunn,Buffalo,D1,UC San Diego,2025-26,,needs_outcome_stats,found,https://www.sports-reference.com/cbb/schools/buffalo/men/2025.html,confirmed_injury_dnp_no_big_west_stats,User confirmed Tyson Dunn was in Canada from 2021-24 and injury/DNP in 2025-26.,exclude_or_mark_no_big_west_stats
"John Square, Jr.",Fairleigh Dickinson,D1,Cal State Fullerton,2022-23,2021-22,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2022.html,found_official_school_page,https://fullertontitans.com/sports/mens-basketball/stats/2022-23,ready_after_rebuild
Josh O'Garro,Texas State,D1,Cal State Northridge,2025-26,2024-25,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/texas-state/men/2025.html,found_official_school_page,https://gomatadors.com/sports/mens-basketball/stats/2025-26,ready_after_rebuild
Isaiah Moses,Alaska Anchorage,D2,UC Riverside,2022-23,2021-22,needs_source_and_outcome_stats,confirmed_out_of_scope_juco_path,User confirmed Isaiah Moses redshirted in 2021-22 and was at JUCO in 2022-23.,confirmed_out_of_scope_juco_path,User confirmed Isaiah Moses redshirted in 2021-22 and was at JUCO in 2022-23.,exclude_out_of_first_model_scope
Keith Richard,South Plains College,JUCO,Cal State Fullerton,2022-23,2021-22,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,official_school_missing: Could not find player row,https://fullertontitans.com/sports/mens-basketball/stats/2022-23,confirm_no_big_west_stats_or_find_alternate_official_page
Mezziah Oakman,City College of San Francisco,JUCO,UC Santa Barbara,2022-23,2021-22,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,official_school_missing: Could not find player row,https://ucsbgauchos.com/sports/mens-basketball/stats/2022-23,confirm_no_big_west_stats_or_find_alternate_official_page
Tom Mark,Tallahassee Community College,JUCO,Cal State Bakersfield,2022-23,2021-22,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,official_school_missing: Could not find player row,https://gorunners.com/sports/mens-basketball/stats/2022-23,confirm_no_big_west_stats_or_find_alternate_official_page
Zachary Visentin,Snow College,JUCO,Cal State Fullerton,2022-23,2021-22,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,official_school_missing: Could not find player row,https://fullertontitans.com/sports/mens-basketball/stats/2022-23,confirm_no_big_west_stats_or_find_alternate_official_page
B.J. Comer,Ranger College,JUCO,Cal State Northridge,2023-24,2022-23,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,"official_school_missing: Found name text but not parseable stat row: Comer, BJ",https://gomatadors.com/sports/mens-basketball/stats/2023-24,manual_parse_official_school_outcome_row
C.J. Hardy,West Los Angeles College,JUCO,Cal State Bakersfield,2023-24,2022-23,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,official_school_missing: Could not find player row,https://gorunners.com/sports/mens-basketball/stats/2023-24,confirm_no_big_west_stats_or_find_alternate_official_page
Cameron Clark,College of the Sequoias,JUCO,Cal State Bakersfield,2023-24,2022-23,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,official_school_missing: Could not find player row,https://gorunners.com/sports/mens-basketball/stats/2023-24,confirm_no_big_west_stats_or_find_alternate_official_page
Gavin Davis,West Los Angeles College,JUCO,UC Riverside,2023-24,2022-23,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,"official_school_missing: Found name text but not parseable stat row: Davis, Gavin",https://gohighlanders.com/sports/mens-basketball/stats/2023-24,manual_parse_official_school_outcome_row
Jalen Barbee,Cochise College,JUCO,Cal State Northridge,2023-24,2022-23,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,official_school_missing: Could not find player row,https://gomatadors.com/sports/mens-basketball/stats/2023-24,confirm_no_big_west_stats_or_find_alternate_official_page
LoLo Rudolph,Hutchinson Community College,JUCO,Cal State Fullerton,2023-24,2022-23,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,official_school_missing: Could not find player row,https://fullertontitans.com/sports/mens-basketball/stats/2023-24,confirm_no_big_west_stats_or_find_alternate_official_page
Noah Williams,Barton Community College,JUCO,Cal State Northridge,2023-24,2022-23,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,official_school_missing: Could not find player row,https://gomatadors.com/sports/mens-basketball/stats/2023-24,confirm_no_big_west_stats_or_find_alternate_official_page
Dylan Purnell,South Plains College,JUCO,Cal State Bakersfield,2024-25,2023-24,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,official_school_missing: Could not find player row,https://gorunners.com/sports/mens-basketball/stats/2024-25,confirm_no_big_west_stats_or_find_alternate_official_page
Yesan Warren,Frank Phillips College,JUCO,Cal State Fullerton,2024-25,2023-24,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,official_school_missing: Could not find player row,https://fullertontitans.com/sports/mens-basketball/stats/2024-25,confirm_no_big_west_stats_or_find_alternate_official_page
Naceiar Kirksey,Monroe College,JUCO,Cal State Northridge,2025-26,2024-25,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,official_school_missing: Could not find player row,https://gomatadors.com/sports/mens-basketball/stats/2025-26,confirm_no_big_west_stats_or_find_alternate_official_page
Ylan Esso-Essis,Modesto Junior College,JUCO,UC Davis,2025-26,2024-25,needs_source_and_outcome_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,official_school_missing: Could not find player row,https://ucdavisaggies.com/sports/mens-basketball/stats/2025-26,confirm_no_big_west_stats_or_find_alternate_official_page
Vlad Salaridze,Eastern Florida State College,JUCO,UC Riverside,2022-23,2021-22,needs_source_stats,needs_juco_school_or_realgm_lookup,manual_juco_or_official_school_page,found_official_school_page,https://gohighlanders.com/sports/mens-basketball/stats/2022-23,manual_juco_source_stats_then_massey_check
