player_name,player_slug,priority,source_school,source_school_slug,destination_school,destination_school_slug,expected_source_season,first_big_west_season,has_big_west_outcome,local_cache_status,source_page_status,source_page_url,source_milestones,destination_milestones,source_in_vc_attended,vc_redshirt_at_source_season,classification,recommended_action,needs_user_review,notes
"Ramel Lloyd, Jr.",ramel-lloyd-jr,1,Nebraska,nebraska,Long Beach State,long-beach-state,2023-24,2024-25,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/nebraska/men/2024.html,2020-11-21 ENROLLMENT Nebraska | 2024-03-25 TRANSFER Nebraska,2024-05-02 COMMITMENT Long Beach State | 2024-08-20 SIGNING Long Beach State | 2024-09-20 ENROLLMENT Long Beach State | 2025-04-02 TRANSFER Long Beach State,TRUE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
"Carl Daughtery, Jr.",carl-daughtery-jr,1,Central Arkansas,central-arkansas,UC Davis,uc-davis,2023-24,2024-25,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2024.html,2020-11-23 ENROLLMENT Central Arkansas | 2024-03-25 TRANSFER Central Arkansas,2024-06-14 COMMITMENT UC Davis | 2024-08-20 SIGNING UC Davis | 2024-09-20 ENROLLMENT UC Davis | 2026-04-21 TRANSFER UC Davis,TRUE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Parker Strauss,parker-strauss,1,Northwestern,northwestern,UC Riverside,uc-riverside,2023-24,2024-25,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/northwestern/men/2024.html,2022-07-12 ENROLLMENT Northwestern (expectedRedshirt) | 2023-09-18 REDSHIRT Northwestern | 2024-04-03 TRANSFER Northwestern,2024-04-19 COMMITMENT UC Riverside | 2024-08-20 SIGNING UC Riverside | 2024-09-20 ENROLLMENT UC Riverside | 2025-04-15 TRANSFER UC Riverside | 2025-08-25 ENROLLMENT UC Riverside,TRUE,TRUE,likely_redshirt_no_source_stats,mark_no_source_stats,FALSE,VC has redshirt/expected-redshirt evidence during the expected source season.
Dailin Smith,dailin-smith,1,Alabama A&M,alabama-a-m,Cal State Bakersfield,cal-state-bakersfield,2024-25,2025-26,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/alabama-am/men/2025.html,2020-05-21 ENROLLMENT Alabama A&M | 2024-10-01 REDSHIRT Alabama A&M | 2024-12-14 TRANSFER Alabama A&M,2025-03-10 SIGNING Cal State Bakersfield | 2025-09-20 ENROLLMENT Cal State Bakersfield,TRUE,TRUE,likely_redshirt_no_source_stats,mark_no_source_stats,FALSE,VC has redshirt/expected-redshirt evidence during the expected source season.
Ronald Jessamy,ronald-jessamy,1,Tennessee State,tennessee-state,Cal State Bakersfield,cal-state-bakersfield,2024-25,2025-26,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/tennessee-state/men/2025.html,2021-06-18 OFFER Tennessee State | 2024-04-19 COMMITMENT Tennessee State | 2024-05-13 SIGNING Tennessee State | 2024-09-20 ENROLLMENT Tennessee State | 2025-04-03 TRANSFER Tennessee State,2025-04-29 SIGNING Cal State Bakersfield | 2025-09-20 ENROLLMENT Cal State Bakersfield | 2026-04-01 TRANSFER Cal State Bakersfield,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Aleks Szymczyk,aleksander-szymczyk,1,Charlotte,charlotte,Cal State Northridge,cal-state-northridge,2024-25,2025-26,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/charlotte/men/2025.html,2024-05-24 COMMITMENT Charlotte | 2024-08-03 SIGNING Charlotte | 2024-09-20 ENROLLMENT Charlotte | 2025-03-28 TRANSFER Charlotte,2025-07-08 SIGNING Cal State Northridge | 2025-09-20 ENROLLMENT Cal State Northridge | 2026-03-27 TRANSFER Cal State Northridge,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
"James Evans, Jr.",james-evans,1,UNLV,unlv,Cal State Northridge,cal-state-northridge,2024-25,2025-26,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/nevada-las-vegas/men/2025.html,2023-04-26 COMMITMENT UNLV | 2024-08-20 SIGNING UNLV | 2024-09-20 ENROLLMENT UNLV | 2024-10-01 REDSHIRT UNLV | 2025-03-15 TRANSFER UNLV | 2025-04-03 ENROLLMENT UNLV | 2025-06-11 TRANSFER UNLV,2025-07-10 COMMITMENT Cal State Northridge | 2025-07-25 SIGNING Cal State Northridge | 2025-09-20 ENROLLMENT Cal State Northridge | 2026-03-19 TRANSFER Cal State Northridge,TRUE,TRUE,likely_redshirt_no_source_stats,mark_no_source_stats,FALSE,VC has redshirt/expected-redshirt evidence during the expected source season.
Dre Bullock,quandre-bullock,1,South Dakota,south-dakota,Hawaii,hawaii,2024-25,2025-26,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/south-dakota/men/2025.html,2024-04-25 COMMITMENT South Dakota | 2024-08-20 SIGNING South Dakota | 2024-09-20 ENROLLMENT South Dakota | 2025-03-12 TRANSFER South Dakota,2025-04-22 COMMITMENT Hawaii | 2025-05-22 SIGNING Hawaii | 2025-09-20 ENROLLMENT Hawaii,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
J.J. Chaikovsky,jj-chaikovsky,1,Cal State Northridge,cal-state-northridge,Long Beach State,long-beach-state,2024-25,2025-26,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html,2024-07-06 WALK_ON Cal State Northridge | 2024-10-01 REDSHIRT Cal State Northridge | 2025-04-01 TRANSFER Cal State Northridge,2025-07-22 SIGNING Long Beach State | 2025-09-20 ENROLLMENT Long Beach State,FALSE,TRUE,likely_redshirt_no_source_stats,mark_no_source_stats,FALSE,VC has redshirt/expected-redshirt evidence during the expected source season.
Petar Majstorović,petar-majstorovi,1,Syracuse,syracuse,Long Beach State,long-beach-state,2024-25,2025-26,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/syracuse/men/2025.html,2024-08-16 SIGNING Syracuse | 2024-09-20 ENROLLMENT Syracuse | 2025-03-31 TRANSFER Syracuse,2025-04-17 COMMITMENT Long Beach State | 2025-06-13 SIGNING Long Beach State | 2025-09-20 ENROLLMENT Long Beach State | 2026-04-06 TRANSFER Long Beach State,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
"Shay Johnson, Jr.",demarshay-johnson-jr,1,San Diego State,san-diego-state,Long Beach State,long-beach-state,2024-25,2025-26,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2025.html,2020-11-10 ENROLLMENT San Diego State | 2025-03-25 TRANSFER San Diego State,2025-04-08 COMMITMENT Long Beach State | 2025-06-02 SIGNING Long Beach State | 2025-09-20 ENROLLMENT Long Beach State,TRUE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
"Marqui Worthy, Jr.",marqui-worthy,1,Massachusetts,massachusetts,UC Riverside,uc-riverside,2024-25,2025-26,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/massachusetts/men/2025.html,2022-11-10 ENROLLMENT Massachusetts | 2025-04-01 TRANSFER Massachusetts,2025-05-19 COMMITMENT UC Riverside | 2025-06-25 SIGNING UC Riverside | 2025-09-20 ENROLLMENT UC Riverside | 2026-04-01 TRANSFER UC Riverside,TRUE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Dimitrije Vukićević,dimitrije-vukievi,1,Washington State,washington-state,UC San Diego,uc-san-diego,2024-25,2025-26,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/washington-state/men/2025.html,2024-07-01 SIGNING Washington State | 2024-09-20 ENROLLMENT Washington State | 2024-10-01 REDSHIRT Washington State | 2025-04-23 TRANSFER Washington State,2025-06-05 COMMITMENT UC San Diego | 2025-07-21 SIGNING UC San Diego | 2025-09-20 ENROLLMENT UC San Diego,FALSE,TRUE,likely_redshirt_no_source_stats,mark_no_source_stats,FALSE,VC has redshirt/expected-redshirt evidence during the expected source season.
Trap Johnson,trap-johnson,1,Montana State,montana-state,UC San Diego,uc-san-diego,2024-25,2025-26,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/montana-state/men/2025.html,2023-06-28 SIGNING Montana State | 2024-09-20 ENROLLMENT Montana State | 2024-10-01 REDSHIRT Montana State | 2025-03-25 TRANSFER Montana State,2025-04-27 COMMITMENT UC San Diego | 2025-07-21 SIGNING UC San Diego | 2025-09-20 ENROLLMENT UC San Diego | 2026-04-07 TRANSFER UC San Diego,TRUE,TRUE,likely_redshirt_no_source_stats,mark_no_source_stats,FALSE,VC has redshirt/expected-redshirt evidence during the expected source season.
Hosana Kitenge,hosana-kitenge,1,Louisiana,louisiana,UC Santa Barbara,uc-santa-barbara,2024-25,2025-26,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/louisiana-lafayette/men/2025.html,2023-06-02 ENROLLMENT Louisiana | 2025-03-13 TRANSFER Louisiana,2025-04-28 COMMITMENT UC Santa Barbara | 2025-07-11 SIGNING UC Santa Barbara | 2025-09-20 ENROLLMENT UC Santa Barbara,TRUE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
"John Square, Jr.",john-square-jr,3,Fairleigh Dickinson,fairleigh-dickinson,Cal State Fullerton,cal-state-fullerton,2021-22,2022-23,FALSE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2022.html,2020-04-10 TRANSFER Fairleigh Dickinson,2022-06-10 ENROLLMENT Cal State Fullerton,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Kieves Turner,kieves-turner,3,San Diego,san-diego,UC Santa Barbara,uc-santa-barbara,2023-24,2024-25,FALSE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/san-diego/men/2024.html,2022-04-25 ENROLLMENT San Diego | 2024-03-24 TRANSFER San Diego,2024-04-29 COMMITMENT UC Santa Barbara | 2024-08-20 SIGNING UC Santa Barbara | 2024-09-20 ENROLLMENT UC Santa Barbara | 2025-03-20 TRANSFER UC Santa Barbara,TRUE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Josh O'Garro,josh-ogarro,3,Texas State,texas-state,Cal State Northridge,cal-state-northridge,2024-25,2025-26,FALSE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/texas-state/men/2025.html,2023-06-10 ENROLLMENT Texas State | 2025-03-20 TRANSFER Texas State,2025-04-16 COMMITMENT Cal State Northridge | 2025-07-08 SIGNING Cal State Northridge | 2025-09-20 ENROLLMENT Cal State Northridge | 2026-04-22 TRANSFER Cal State Northridge,TRUE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Anthony Moore,anthony-moore3,5,Weber State,weber-state,Cal Poly,cal-poly,2025-26,2026-27,FALSE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/weber-state/men/2026.html,2024-06-18 OFFER Weber State | 2024-10-12 COMMITMENT Weber State | 2024-11-14 SIGNING Weber State | 2025-09-20 ENROLLMENT Weber State | 2026-04-07 TRANSFER Weber State,2024-06-24 OFFER Cal Poly | 2026-04-16 COMMITMENT Cal Poly,FALSE,FALSE,future_transfer_not_current_model,defer_until_2026_27_outcomes_exist,FALSE,Future Big West season; exclude from current training set.
"Kjay Bradley, Jr.",kevin-bradley-jr,5,San Diego,san-diego,Cal State Bakersfield,cal-state-bakersfield,2025-26,2026-27,FALSE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/san-diego/men/2026.html,2022-12-14 OFFER San Diego | 2024-04-26 SIGNING San Diego | 2024-09-20 ENROLLMENT San Diego | 2026-03-28 TRANSFER San Diego (expectedRedshirt),2026-05-14 COMMITMENT Cal State Bakersfield | 2026-05-23 SIGNING Cal State Bakersfield,FALSE,TRUE,future_transfer_not_current_model,defer_until_2026_27_outcomes_exist,FALSE,Future Big West season; exclude from current training set.
Marley Zeller,marley-zeller,5,Loyola Marymount,loyola-marymount,Cal State Fullerton,cal-state-fullerton,2025-26,2026-27,FALSE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/loyola-marymount/men/2026.html,2024-04-04 COMMITMENT Loyola Marymount | 2024-08-20 SIGNING Loyola Marymount | 2024-09-20 ENROLLMENT Loyola Marymount | 2024-10-01 REDSHIRT Loyola Marymount | 2026-03-30 TRANSFER Loyola Marymount,2026-04-18 COMMITMENT Cal State Fullerton,FALSE,FALSE,future_transfer_not_current_model,defer_until_2026_27_outcomes_exist,FALSE,Future Big West season; exclude from current training set.
B.J. Omot,bj-omot,5,Minnesota,minnesota,Cal State Northridge,cal-state-northridge,2025-26,2026-27,FALSE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/minnesota/men/2026.html,2025-04-03 SIGNING Minnesota | 2025-09-20 ENROLLMENT Minnesota (expectedRedshirt) | 2026-03-23 TRANSFER Minnesota,2026-05-01 COMMITMENT Cal State Northridge,FALSE,TRUE,future_transfer_not_current_model,defer_until_2026_27_outcomes_exist,FALSE,Future Big West season; exclude from current training set.
Kéziah Ekissi,kziah-ekissi,5,Oregon State,oregon-state,Cal State Northridge,cal-state-northridge,2025-26,2026-27,FALSE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/oregon-state/men/2026.html,2024-10-08 OFFER Oregon State | 2025-01-15 SIGNING Oregon State | 2025-09-20 ENROLLMENT Oregon State | 2026-04-10 TRANSFER Oregon State,2026-05-07 COMMITMENT Cal State Northridge,FALSE,FALSE,future_transfer_not_current_model,defer_until_2026_27_outcomes_exist,FALSE,Future Big West season; exclude from current training set.
Tiger Cuff,tiger-cuff,5,Weber State,weber-state,Hawaii,hawaii,2025-26,2026-27,FALSE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/weber-state/men/2026.html,2023-06-28 OFFER Weber State,2026-04-14 COMMITMENT Hawaii,TRUE,FALSE,future_transfer_not_current_model,defer_until_2026_27_outcomes_exist,FALSE,Future Big West season; exclude from current training set.
Grgur Brčić,grgur-bri,5,Bucknell,bucknell,Long Beach State,long-beach-state,2025-26,2026-27,FALSE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/bucknell/men/2026.html,2025-04-21 COMMITMENT Bucknell | 2025-05-29 SIGNING Bucknell | 2025-09-20 ENROLLMENT Bucknell | 2026-04-06 TRANSFER Bucknell,2026-05-07 COMMITMENT Long Beach State | 2026-06-04 SIGNING Long Beach State,FALSE,FALSE,future_transfer_not_current_model,defer_until_2026_27_outcomes_exist,FALSE,Future Big West season; exclude from current training set.
Henry Lau,henry-cody-lau,5,Pittsburgh,pittsburgh,Long Beach State,long-beach-state,2025-26,2026-27,FALSE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/pittsburgh/men/2026.html,2025-05-03 COMMITMENT Pittsburgh | 2025-05-15 SIGNING Pittsburgh | 2025-09-20 ENROLLMENT Pittsburgh (expectedRedshirt) | 2026-04-12 TRANSFER Pittsburgh (expectedRedshirt),2026-06-11 SIGNING Long Beach State,FALSE,TRUE,future_transfer_not_current_model,defer_until_2026_27_outcomes_exist,FALSE,Future Big West season; exclude from current training set.
